,time,temperature_2m,relativehumidity_2m,apparent_temperature,surface_pressure,snowfall,shortwave_radiation,direct_radiation,diffuse_radiation,direct_normal_irradiance,windspeed_10m,winddirection_10m,et0_fao_evapotranspiration,soil_temperature_0_to_7cm,soil_moisture_0_to_7cm,days_since_Jan1_2000,season
27819,2017-07-13T04:00,15.7,97,15.9,971.2,0.0,0.0,0.0,0.0,0.0,5.2,25,0.0,16.4,0.253,6403.166666666667,Summer
37291,2017-09-16T23:00,19.4,96,21.8,999.1,0.0,0.0,0.0,0.0,0.0,4.8,222,0.0,17.8,0.197,6468.958333333333,Summer
34362,2017-08-27T15:00,18.7,56,19.3,997.6,0.0,382.0,187.0,195.0,255.1,3.6,354,0.25,17.7,0.225,6448.625,Summer
31897,2017-08-10T12:00,25.1,65,30.1,1005.8,0.0,793.0,589.0,204.0,676.2,5.5,203,0.55,23.7,0.227,6431.5,Summer
30609,2017-08-01T13:00,26.2,45,28.9,992.0,0.0,904.0,797.0,107.0,905.9,6.1,310,0.64,23.3,0.184,6422.541666666667,Summer
30783,2017-08-02T18:00,25.2,78,28.0,973.0,0.0,152.0,77.0,75.0,205.0,3.4,212,0.1,23.1,0.153,6423.75,Summer
30116,2017-07-29T03:00,15.4,75,15.4,989.5,0.0,0.0,0.0,0.0,0.0,13.0,14,0.05,16.4,0.203,6419.125,Summer
36256,2017-09-09T18:00,13.6,93,13.4,980.1,0.0,50.0,24.0,26.0,246.0,10.9,343,0.03,13.3,0.294,6461.75,Summer
28948,2017-07-21T00:00,17.9,85,18.1,979.7,0.0,0.0,0.0,0.0,0.0,5.8,210,0.0,19.0,0.252,6411.0,Summer
28842,2017-07-20T07:00,22.3,85,25.1,983.5,0.0,253.0,172.0,81.0,460.5,5.5,203,0.15,21.6,0.264,6410.291666666667,Summer
31917,2017-08-10T15:00,24.9,61,27.1,996.0,0.0,515.0,348.0,167.0,575.6,5.9,227,0.38,22.1,0.238,6431.625,Summer
25860,2017-06-29T14:00,18.1,92,17.5,985.8,0.0,187.0,5.0,182.0,2.7,3.1,69,0.12,17.3,0.305,6389.583333333333,Summer
25321,2017-06-25T20:00,17.3,86,18.0,969.1,0.0,8.0,3.0,5.0,94.2,4.8,318,0.02,17.2,0.287,6385.833333333333,Summer
37464,2017-09-18T04:00,14.5,99,13.8,990.2,0.0,0.0,0.0,0.0,0.0,7.9,133,0.0,15.6,0.198,6470.166666666667,Summer
33329,2017-08-20T10:00,19.3,92,21.0,986.4,0.0,492.0,302.0,190.0,374.8,11.5,272,0.28,19.1,0.266,6441.416666666667,Summer
36342,2017-09-10T09:00,14.5,80,13.3,984.5,0.0,496.0,407.0,89.0,694.4,11.3,343,0.24,13.6,0.272,6462.375,Summer
35280,2017-09-03T00:00,9.9,86,8.4,991.8,0.0,0.0,0.0,0.0,0.0,8.0,117,0.0,11.2,0.169,6455.0,Summer
36025,2017-09-08T04:00,11.6,96,8.7,968.7,0.0,0.0,0.0,0.0,0.0,10.2,219,0.0,11.5,0.276,6460.166666666667,Summer
36640,2017-09-12T10:00,20.1,64,20.9,972.1,0.0,644.0,557.0,87.0,846.6,6.3,294,0.39,16.6,0.235,6464.416666666667,Summer
24998,2017-06-23T14:00,26.6,76,30.3,983.1,0.0,415.0,162.0,253.0,239.3,15.1,192,0.26,23.9,0.245,6383.583333333333,Summer
31923,2017-08-10T16:00,25.0,63,28.6,1005.0,0.0,425.0,236.0,189.0,419.1,2.6,254,0.3,23.9,0.221,6431.666666666667,Summer
25052,2017-06-23T23:00,20.5,95,25.0,982.3,0.0,0.0,0.0,0.0,0.0,9.9,190,0.0,18.9,0.267,6383.958333333333,Summer
32649,2017-08-15T17:00,24.1,73,26.0,966.3,0.0,263.0,151.0,112.0,403.6,6.9,227,0.18,21.5,0.207,6436.708333333333,Summer
27335,2017-07-09T19:00,19.4,81,20.7,984.2,0.0,82.0,44.0,38.0,388.1,10.4,236,0.07,19.0,0.271,6399.791666666667,Summer
29073,2017-07-21T21:00,22.0,79,23.4,966.9,0.0,0.0,0.0,0.0,0.0,7.9,294,0.02,20.8,0.227,6411.875,Summer
27139,2017-07-08T11:00,20.6,91,19.9,976.5,0.0,311.0,70.0,241.0,66.6,8.3,252,0.19,19.9,0.342,6398.458333333333,Summer
33887,2017-08-24T07:00,17.5,77,16.8,991.6,0.0,187.0,131.0,56.0,400.0,5.5,281,0.1,17.0,0.179,6445.291666666667,Summer
37092,2017-09-15T14:00,25.4,57,27.1,989.6,0.0,536.0,414.0,122.0,718.8,2.9,30,0.37,22.6,0.213,6467.583333333333,Summer
31940,2017-08-10T19:00,23.7,65,26.3,989.9,0.0,29.0,4.0,25.0,105.5,2.9,120,0.04,21.5,0.228,6431.791666666667,Summer
37606,2017-09-19T03:00,17.0,97,15.9,990.2,0.0,0.0,0.0,0.0,0.0,11.6,154,0.0,17.5,0.195,6471.125,Summer
37541,2017-09-18T16:00,24.6,70,27.9,993.0,0.0,335.0,258.0,77.0,664.4,5.4,160,0.23,22.4,0.188,6470.666666666667,Summer
29187,2017-07-22T16:00,22.1,61,22.0,981.8,0.0,572.0,456.0,116.0,738.2,8.0,306,0.37,21.8,0.227,6412.666666666667,Summer
29829,2017-07-27T03:00,17.7,87,17.7,987.9,0.0,0.0,0.0,0.0,0.0,13.0,180,0.02,16.8,0.234,6417.125,Summer
27450,2017-07-10T15:00,24.4,60,25.2,971.2,0.0,582.0,458.0,124.0,574.7,12.0,221,0.41,21.7,0.244,6400.625,Summer
24948,2017-06-23T06:00,19.7,95,23.6,987.7,0.0,103.0,36.0,67.0,119.5,6.7,196,0.06,18.1,0.218,6383.25,Summer
28194,2017-07-15T19:00,20.5,95,24.9,967.9,0.0,79.0,40.0,39.0,308.8,4.0,297,0.05,19.1,0.301,6405.791666666667,Summer
27183,2017-07-08T18:00,18.7,92,20.8,977.6,0.0,175.0,76.0,99.0,221.0,5.4,278,0.1,18.9,0.317,6398.75,Summer
27762,2017-07-12T19:00,21.6,82,21.7,983.8,0.0,55.0,3.0,52.0,46.8,11.2,356,0.07,21.5,0.253,6402.791666666667,Summer
26005,2017-06-30T14:00,23.4,85,25.7,985.8,0.0,271.0,29.0,242.0,34.9,8.0,185,0.2,19.8,0.301,6390.583333333333,Summer
35105,2017-09-01T18:00,13.6,55,10.7,1003.2,0.0,49.0,10.0,39.0,96.0,10.7,315,0.07,16.8,0.172,6453.75,Summer
32851,2017-08-17T03:00,11.9,92,9.2,971.7,0.0,0.0,0.0,0.0,0.0,5.6,243,0.0,12.3,0.197,6438.125,Summer
34710,2017-08-30T01:00,14.4,74,13.2,985.7,0.0,0.0,0.0,0.0,0.0,1.8,79,0.0,14.5,0.173,6451.041666666667,Summer
28246,2017-07-16T03:00,16.2,100,16.6,967.9,0.0,0.0,0.0,0.0,0.0,5.4,217,0.0,15.6,0.288,6406.125,Summer
31587,2017-08-08T08:00,18.1,95,19.9,991.3,0.0,185.0,31.0,154.0,32.3,9.6,347,0.1,17.6,0.218,6429.333333333333,Summer
30354,2017-07-30T19:00,22.4,54,23.7,995.0,0.0,69.0,42.0,27.0,432.4,5.5,328,0.08,21.3,0.156,6420.791666666667,Summer
27601,2017-07-11T16:00,24.8,66,26.8,983.0,0.0,554.0,456.0,98.0,710.2,13.1,249,0.38,22.8,0.262,6401.666666666667,Summer
26947,2017-07-07T03:00,18.0,87,17.9,984.8,0.0,0.0,0.0,0.0,0.0,13.8,171,0.03,17.5,0.213,6397.125,Summer
27001,2017-07-07T12:00,26.1,67,28.8,965.8,0.0,792.0,578.0,214.0,632.5,9.4,178,0.54,23.0,0.204,6397.5,Summer
26055,2017-06-30T22:00,21.4,100,25.2,992.5,0.0,0.0,0.0,0.0,0.0,11.3,207,0.0,20.2,0.272,6390.916666666667,Summer
25992,2017-06-30T12:00,23.7,77,26.2,982.5,0.0,391.0,76.0,315.0,97.6,10.7,222,0.27,20.3,0.315,6390.5,Summer
45251,2017-11-11T05:00,-7.1,55,-12.7,1007.9,0.0,0.0,0.0,0.0,0.0,14.1,320,0.02,-0.6,0.244,6524.208333333333,Fall
39148,2017-09-29T20:00,12.3,55,8.5,985.0,0.0,0.0,0.0,0.0,0.0,7.6,31,0.03,14.2,0.155,6481.833333333333,Fall
44559,2017-11-06T10:00,15.3,98,17.1,989.6,0.0,81.0,0.0,81.0,0.0,12.8,202,0.05,13.4,0.264,6519.416666666667,Fall
40882,2017-10-11T21:00,9.8,70,5.2,1010.7,0.0,0.0,0.0,0.0,0.0,9.5,11,0.01,14.8,0.227,6493.875,Fall
43518,2017-10-30T05:00,15.4,97,13.5,961.6,0.0,0.0,0.0,0.0,0.0,25.7,160,0.02,15.2,0.313,6512.208333333333,Fall
39160,2017-09-29T22:00,10.5,65,5.8,973.4,0.0,0.0,0.0,0.0,0.0,8.4,43,0.02,11.9,0.122,6481.916666666667,Fall
44256,2017-11-04T08:00,4.9,70,1.1,1004.9,0.0,105.0,52.0,53.0,159.9,12.2,360,0.05,7.3,0.256,6517.333333333333,Fall
45680,2017-11-14T05:00,-1.2,78,-4.2,998.0,0.0,0.0,0.0,0.0,0.0,5.5,11,0.0,-1.0,0.242,6527.208333333333,Fall
44890,2017-11-08T17:00,1.9,68,-2.9,996.3,0.0,9.0,4.0,5.0,97.5,7.2,162,0.02,2.7,0.266,6521.708333333333,Fall
45221,2017-11-11T00:00,-6.3,53,-14.5,981.0,0.0,0.0,0.0,0.0,0.0,18.7,310,0.02,-0.8,0.259,6524.0,Fall
49647,2017-12-11T18:00,-7.6,66,-11.1,969.7,0.0,0.0,0.0,0.0,0.0,4.0,350,0.0,-1.6,0.251,6554.75,Fall
37827,2017-09-20T16:00,23.3,74,25.8,989.5,0.0,169.0,22.0,147.0,83.7,10.4,346,0.15,21.1,0.176,6472.666666666667,Fall
