,time,temperature_2m,relativehumidity_2m,apparent_temperature,surface_pressure,snowfall,shortwave_radiation,direct_radiation,diffuse_radiation,direct_normal_irradiance,windspeed_10m,winddirection_10m,et0_fao_evapotranspiration,soil_temperature_0_to_7cm,soil_moisture_0_to_7cm,days_since_Jan1_2000,season
28224,2019-07-16T00:00,19.3,74,19.3,995.8,0.0,0.0,0.0,0.0,0.0,2.0,315,0.0,19.1,0.123,7136.0,Summer
30879,2019-08-03T10:00,26.5,43,27.5,998.5,0.0,741.0,639.0,102.0,840.1,6.6,225,0.52,25.3,0.135,7154.416666666667,Summer
35284,2019-09-03T00:00,14.3,100,14.6,971.1,0.0,0.0,0.0,0.0,0.0,4.5,256,0.0,14.5,0.279,7185.0,Summer
25931,2019-06-30T01:00,16.9,100,17.1,980.1,0.0,0.0,0.0,0.0,0.0,7.9,270,0.0,17.3,0.265,7120.041666666667,Summer
24547,2019-06-20T11:00,19.4,99,21.0,974.6,0.0,220.0,12.0,208.0,11.8,3.8,73,0.15,18.6,0.24,7110.458333333333,Summer
36780,2019-09-13T10:00,17.0,56,16.1,1010.7,0.0,630.0,527.0,103.0,811.4,9.7,86,0.35,15.7,0.209,7195.416666666667,Summer
35607,2019-09-05T06:00,11.9,87,10.9,987.0,0.0,17.0,8.0,9.0,0.0,4.7,351,0.01,13.1,0.276,7187.25,Summer
34205,2019-08-26T12:00,24.3,35,25.2,991.9,0.0,859.0,761.0,98.0,913.4,4.7,81,0.58,22.3,0.185,7177.5,Summer
35367,2019-09-03T14:00,20.3,58,21.4,973.7,0.0,440.0,170.0,270.0,354.8,6.9,276,0.3,18.8,0.256,7185.583333333333,Summer
33695,2019-08-22T23:00,16.9,83,15.2,983.0,0.0,0.0,0.0,0.0,0.0,11.0,251,0.01,17.4,0.25,7173.958333333333,Summer
31736,2019-08-09T09:00,21.6,58,22.3,975.1,0.0,565.0,470.0,95.0,704.5,11.5,250,0.37,21.2,0.234,7160.375,Summer
37132,2019-09-15T20:00,15.0,84,14.9,973.2,0.0,0.0,0.0,0.0,0.0,9.1,326,0.01,15.2,0.218,7197.833333333333,Summer
34630,2019-08-29T11:00,23.7,61,26.3,967.4,0.0,727.0,607.0,120.0,759.8,7.4,313,0.47,22.1,0.185,7180.458333333333,Summer
31101,2019-08-04T23:00,18.1,56,15.7,983.5,0.0,0.0,0.0,0.0,0.0,3.4,18,0.0,19.4,0.137,7155.958333333333,Summer
25577,2019-06-27T14:00,26.2,54,28.2,975.9,0.0,668.0,462.0,206.0,565.1,10.9,287,0.49,22.9,0.227,7117.583333333333,Summer
30203,2019-07-29T17:00,31.3,35,32.7,994.8,0.0,402.0,306.0,96.0,667.8,6.8,205,0.33,26.8,0.173,7149.708333333333,Summer
25084,2019-06-24T04:00,13.5,85,12.3,978.6,0.0,0.0,0.0,0.0,0.0,2.9,187,0.0,13.0,0.291,7114.166666666667,Summer
34583,2019-08-29T03:00,18.5,100,20.7,965.8,0.0,0.0,0.0,0.0,0.0,2.3,219,0.0,18.3,0.19,7180.125,Summer
34999,2019-09-01T01:00,12.0,90,8.0,1000.1,0.0,0.0,0.0,0.0,0.0,6.9,354,0.0,12.3,0.175,7183.041666666667,Summer
37165,2019-09-16T02:00,12.8,90,11.8,986.5,0.0,0.0,0.0,0.0,0.0,5.2,335,0.0,14.5,0.225,7198.083333333333,Summer
36258,2019-09-09T19:00,13.3,78,10.6,997.6,0.0,0.0,0.0,0.0,0.5,2.3,39,0.01,13.5,0.248,7191.791666666667,Summer
31450,2019-08-07T09:00,25.6,72,27.5,967.1,0.0,475.0,293.0,182.0,353.0,6.9,186,0.32,23.6,0.088,7158.375,Summer
26921,2019-07-06T22:00,20.7,91,21.5,986.5,0.0,0.0,0.0,0.0,0.0,11.3,353,0.0,19.8,0.269,7126.916666666667,Summer
28422,2019-07-17T09:00,22.1,90,25.5,983.5,0.0,130.0,4.0,126.0,6.2,11.8,247,0.11,21.0,0.204,7137.375,Summer
33912,2019-08-24T12:00,18.8,63,19.0,995.5,0.0,417.0,99.0,318.0,137.4,5.5,23,0.27,18.4,0.225,7175.5,Summer
30998,2019-08-04T06:00,18.5,87,17.9,982.4,0.0,63.0,37.0,26.0,0.0,9.8,354,0.05,18.3,0.143,7155.25,Summer
26316,2019-07-02T18:00,23.7,82,29.5,976.4,0.0,213.0,112.0,101.0,320.6,2.9,270,0.15,21.9,0.287,7122.75,Summer
33466,2019-08-21T09:00,23.6,77,23.5,970.9,0.0,314.0,75.0,239.0,125.9,7.6,175,0.21,21.2,0.193,7172.375,Summer
36089,2019-09-08T14:00,19.1,51,17.4,985.2,0.0,349.0,94.0,255.0,94.3,12.7,305,0.26,18.1,0.217,7190.583333333333,Summer
25949,2019-06-30T04:00,17.2,99,16.4,963.6,0.0,0.0,0.0,0.0,0.0,8.3,304,0.0,17.0,0.245,7120.166666666667,Summer
35257,2019-09-02T20:00,17.6,92,20.8,983.0,0.0,0.0,0.0,0.0,0.0,4.3,270,0.0,16.4,0.331,7184.833333333333,Summer
24919,2019-06-23T01:00,14.9,77,14.5,995.9,0.0,0.0,0.0,0.0,0.0,7.4,299,0.01,14.7,0.241,7113.041666666667,Summer
37192,2019-09-16T06:00,9.9,91,8.5,990.2,0.0,7.0,1.0,6.0,0.0,8.4,277,0.02,11.3,0.248,7198.25,Summer
30860,2019-08-03T07:00,20.7,71,20.1,999.3,0.0,251.0,192.0,59.0,537.4,5.8,187,0.14,21.1,0.136,7154.291666666667,Summer
26393,2019-07-03T06:00,20.0,89,23.2,979.6,0.0,134.0,88.0,46.0,303.0,2.7,203,0.07,16.6,0.288,7123.25,Summer
25552,2019-06-27T10:00,26.7,54,29.8,998.6,0.0,801.0,707.0,94.0,850.2,8.9,284,0.58,22.9,0.23,7117.416666666667,Summer
32728,2019-08-16T06:00,18.3,94,18.9,984.9,0.0,16.0,5.0,11.0,0.0,9.4,176,0.03,18.4,0.22,7167.25,Summer
30379,2019-07-30T23:00,23.1,85,24.6,988.3,0.0,0.0,0.0,0.0,0.0,6.5,174,0.01,22.0,0.137,7150.958333333333,Summer
32999,2019-08-18T03:00,20.4,98,23.7,993.9,0.0,0.0,0.0,0.0,0.0,5.0,201,0.0,20.2,0.182,7169.125,Summer
35709,2019-09-05T23:00,15.3,85,11.6,1001.5,0.0,0.0,0.0,0.0,0.0,3.4,148,0.0,17.7,0.216,7187.958333333333,Summer
27295,2019-07-09T13:00,31.2,24,33.3,994.7,0.0,957.0,851.0,106.0,918.8,4.9,306,0.72,28.0,0.12,7129.541666666667,Summer
27324,2019-07-09T18:00,24.9,78,29.9,985.3,0.0,277.0,201.0,76.0,596.7,1.3,34,0.18,23.4,0.236,7129.75,Summer
25667,2019-06-28T05:00,16.0,89,19.6,993.7,0.0,19.0,4.0,15.0,0.0,6.4,153,0.03,15.2,0.21,7118.208333333333,Summer
28725,2019-07-19T11:00,27.3,67,27.7,979.5,0.0,565.0,405.0,160.0,544.5,16.0,247,0.38,24.3,0.19,7139.458333333333,Summer
32533,2019-08-14T22:00,18.6,77,16.3,998.2,0.0,0.0,0.0,0.0,0.0,6.2,353,0.0,20.9,0.157,7165.916666666667,Summer
30924,2019-08-03T18:00,23.9,58,23.5,984.0,0.0,161.0,99.0,62.0,390.6,6.3,283,0.11,23.6,0.139,7154.75,Summer
25889,2019-06-29T18:00,22.0,90,23.7,992.7,0.0,251.0,172.0,79.0,526.8,7.4,346,0.14,20.2,0.246,7119.75,Summer
33323,2019-08-20T09:00,21.9,60,23.6,990.7,0.0,564.0,481.0,83.0,784.8,5.3,242,0.36,21.6,0.264,7171.375,Summer
33220,2019-08-19T16:00,28.7,50,30.7,981.4,0.0,508.0,392.0,116.0,743.5,15.1,245,0.4,26.9,0.203,7170.666666666667,Summer
28456,2019-07-17T14:00,26.7,79,31.8,968.2,0.0,503.0,220.0,283.0,147.3,7.6,239,0.34,22.7,0.262,7137.583333333333,Summer
48748,2019-12-05T12:00,1.4,78,-3.0,986.0,0.07,228.0,104.0,124.0,190.3,13.5,295,0.07,2.4,0.244,7278.5,Fall
41584,2019-10-16T18:00,10.9,73,7.8,962.0,0.0,0.0,0.0,0.0,0.0,17.3,126,0.03,10.3,0.21,7228.75,Fall
47445,2019-11-26T11:00,8.2,71,5.0,993.8,0.0,359.0,287.0,72.0,675.3,14.4,179,0.15,6.5,0.282,7269.458333333333,Fall
48282,2019-12-02T07:00,-3.9,80,-8.0,973.6,0.21,0.0,0.0,0.0,0.0,10.2,23,0.0,-1.4,0.334,7275.291666666667,Fall
49506,2019-12-10T19:00,-0.2,82,-5.8,982.9,0.0,0.0,0.0,0.0,0.0,17.6,293,0.02,2.5,0.319,7283.791666666667,Fall
43552,2019-10-30T10:00,14.1,84,14.6,1007.6,0.0,240.0,117.0,123.0,186.1,6.1,180,0.13,13.8,0.251,7242.416666666667,Fall
41979,2019-10-19T12:00,11.9,49,11.5,994.1,0.0,633.0,546.0,87.0,898.0,6.8,295,0.33,10.6,0.261,7231.5,Fall
49205,2019-12-08T16:00,-2.8,67,-5.3,1006.3,0.0,55.0,7.0,48.0,126.5,14.1,184,0.05,-0.1,0.238,7281.666666666667,Fall
49192,2019-12-08T14:00,-2.0,54,-7.8,996.7,0.0,126.0,6.0,120.0,319.5,16.6,167,0.07,0.4,0.239,7281.583333333333,Fall
48937,2019-12-06T20:00,-3.5,95,-7.1,983.5,0.07,0.0,0.0,0.0,0.0,8.9,320,0.0,-0.7,0.319,7279.833333333333,Fall
42815,2019-10-25T07:00,8.3,79,5.7,1008.8,0.0,9.0,0.0,9.0,0.0,0.8,297,0.01,10.2,0.247,7237.291666666667,Fall
41478,2019-10-16T01:00,4.9,84,0.2,970.9,0.0,0.0,0.0,0.0,0.0,4.9,144,0.0,5.1,0.213,7228.041666666667,Fall
42105,2019-10-20T09:00,6.4,76,2.4,972.9,0.0,259.0,102.0,157.0,303.0,5.0,150,0.09,5.2,0.265,7232.375,Fall
42946,2019-10-26T05:00,7.3,92,3.8,1005.4,0.0,0.0,0.0,0.0,0.0,3.7,281,0.0,9.1,0.248,7238.208333333333,Fall
49516,2019-12-10T20:00,1.4,72,-0.4,967.2,0.0,0.0,0.0,0.0,0.0,13.4,276,0.02,1.0,0.315,7283.833333333333,Fall
49002,2019-12-07T07:00,-8.8,81,-13.4,990.8,0.0,0.0,0.0,0.0,0.0,5.8,248,0.0,-0.6,0.318,7280.291666666667,Fall
44731,2019-11-07T15:00,4.2,100,0.3,983.6,0.0,39.0,0.0,39.0,0.0,7.6,329,0.02,4.8,0.342,7250.625,Fall
38767,2019-09-27T05:00,12.3,84,9.5,999.4,0.0,0.0,0.0,0.0,0.0,4.9,216,0.0,14.3,0.246,7209.208333333333,Fall
39321,2019-10-01T01:00,12.2,72,9.7,991.5,0.0,0.0,0.0,0.0,0.0,11.3,149,0.01,11.6,0.231,7213.041666666667,Fall
47225,2019-11-24T22:00,-0.8,95,-1.9,971.2,0.0,0.0,0.0,0.0,0.0,7.9,321,0.0,2.7,0.255,7267.916666666667,Fall
41596,2019-10-16T20:00,10.1,84,8.2,984.6,0.0,0.0,0.0,0.0,0.0,18.5,127,0.03,13.3,0.218,7228.833333333333,Fall
43798,2019-11-01T03:00,13.5,87,8.2,969.9,0.0,0.0,0.0,0.0,0.0,15.0,228,0.01,12.9,0.358,7244.125,Fall
49108,2019-12-08T00:00,-13.0,89,-18.3,998.8,0.0,0.0,0.0,0.0,0.0,11.5,226,0.0,1.9,0.24,7281.0,Fall
40193,2019-10-07T02:00,14.4,99,15.1,987.9,0.0,0.0,0.0,0.0,0.0,14.1,212,0.0,12.6,0.279,7219.083333333333,Fall
48259,2019-12-02T03:00,-4.6,53,-9.1,979.4,0.0,0.0,0.0,0.0,0.0,11.6,83,0.03,2.0,0.259,7275.125,Fall
46220,2019-11-17T23:00,-8.0,76,-12.4,991.6,0.0,0.0,0.0,0.0,0.0,10.2,135,0.01,1.8,0.227,7260.958333333333,Fall
39979,2019-10-05T15:00,12.7,43,11.0,995.9,0.0,475.0,398.0,77.0,872.6,0.7,180,0.23,12.1,0.294,7217.625,Fall
47435,2019-11-26T09:00,1.7,88,2.3,980.4,0.0,162.0,106.0,56.0,317.3,11.2,186,0.05,-0.1,0.352,7269.375,Fall
39996,2019-10-05T18:00,8.8,70,4.2,998.1,0.0,4.0,2.0,2.0,49.2,1.3,326,0.01,8.9,0.263,7217.75,Fall
50682,2019-12-18T23:00,-14.1,79,-19.5,981.7,0.07,0.0,0.0,0.0,0.0,20.9,272,0.01,-0.2,0.262,7291.958333333333,Fall
47977,2019-11-30T04:00,-4.2,58,-8.5,994.3,0.0,0.0,0.0,0.0,0.0,16.4,327,0.03,-0.4,0.272,7273.166666666667,Fall
50434,2019-12-17T05:00,-7.2,61,-8.7,971.5,0.0,0.0,0.0,0.0,0.0,0.4,270,0.0,-3.9,0.274,7290.208333333333,Fall
45333,2019-11-11T19:00,-2.9,87,-6.0,973.0,0.56,0.0,0.0,0.0,0.0,9.6,34,0.0,-0.1,0.235,7254.791666666667,Fall
38373,2019-09-24T11:00,16.9,71,16.3,990.2,0.0,498.0,341.0,157.0,501.7,11.7,313,0.27,19.3,0.254,7206.458333333333,Fall
41757,2019-10-17T23:00,4.5,100,2.2,970.7,0.0,0.0,0.0,0.0,0.0,19.9,319,0.0,5.1,0.339,7229.958333333333,Fall
43108,2019-10-27T08:00,5.8,100,2.4,985.2,0.0,11.0,0.0,11.0,0.0,17.9,128,0.03,6.6,0.358,7239.333333333333,Fall
42175,2019-10-20T21:00,9.2,87,9.0,995.3,0.0,0.0,0.0,0.0,0.0,5.1,39,0.0,7.9,0.26,7232.875,Fall
50595,2019-12-18T08:00,-6.2,85,-9.4,985.2,0.0,23.0,12.0,11.0,0.0,8.0,280,0.01,-0.8,0.258,7291.333333333333,Fall
50035,2019-12-14T11:00,5.2,100,4.6,974.3,0.0,47.0,0.0,47.0,0.0,5.4,360,0.03,2.6,0.358,7287.458333333333,Fall
40486,2019-10-09T03:00,7.9,94,3.2,1010.5,0.0,0.0,0.0,0.0,0.0,5.6,45,0.0,11.5,0.253,7221.125,Fall
48326,2019-12-02T14:00,-0.2,43,-4.7,979.8,0.0,117.0,25.0,92.0,223.8,11.2,6,0.07,0.5,0.259,7275.583333333333,Fall
49823,2019-12-12T23:00,-8.9,62,-11.7,987.3,0.0,0.0,0.0,0.0,0.0,11.4,162,0.01,-2.5,0.272,7285.958333333333,Fall
37965,2019-09-21T15:00,25.1,56,27.3,994.8,0.0,513.0,430.0,83.0,817.9,1.6,297,0.34,21.4,0.169,7203.625,Fall
43173,2019-10-27T19:00,8.1,90,5.7,992.9,0.0,0.0,0.0,0.0,0.0,17.7,163,0.0,10.7,0.275,7239.791666666667,Fall
42945,2019-10-26T05:00,3.3,98,0.6,992.5,0.0,0.0,0.0,0.0,0.0,7.6,251,0.0,4.1,0.266,7238.208333333333,Fall
39338,2019-10-01T04:00,13.0,97,12.4,999.4,0.0,0.0,0.0,0.0,0.0,8.6,147,0.0,15.9,0.247,7213.166666666667,Fall
44649,2019-11-07T01:00,1.5,64,-3.3,990.0,0.0,0.0,0.0,0.0,0.0,11.6,185,0.02,2.6,0.321,7250.041666666667,Fall
43760,2019-10-31T21:00,19.4,100,18.4,953.8,0.0,0.0,0.0,0.0,0.0,23.4,178,0.0,16.1,0.352,7243.875,Fall
50023,2019-12-14T09:00,4.6,100,2.6,968.7,0.0,12.0,0.0,12.0,0.0,8.6,68,0.02,0.4,0.384,7287.375,Fall
43418,2019-10-29T12:00,11.4,78,10.2,996.3,0.0,254.0,54.0,200.0,124.0,18.4,174,0.15,9.8,0.275,7241.5,Fall
3688,2019-01-26T14:00,-7.0,54,-12.2,987.8,0.0,374.0,197.0,177.0,527.3,11.2,225,0.08,-1.1,0.351,6965.583333333333,Winter
7393,2019-02-21T08:00,-3.5,87,-9.3,981.4,0.0,27.0,4.0,23.0,13.5,15.8,163,0.02,-0.4,0.234,6991.333333333333,Winter
