,time,temperature_2m,relativehumidity_2m,apparent_temperature,surface_pressure,snowfall,shortwave_radiation,direct_radiation,diffuse_radiation,direct_normal_irradiance,windspeed_10m,winddirection_10m,et0_fao_evapotranspiration,soil_temperature_0_to_7cm,soil_moisture_0_to_7cm,days_since_Jan1_2000,season
31685,2016-08-08T00:00,18.9,63,17.3,983.4,0.0,0.0,0.0,0.0,0.0,6.8,357,0.02,20.3,0.146,6064.0,Summer
27889,2016-07-12T16:00,27.8,38,30.6,998.9,0.0,624.0,527.0,97.0,816.3,7.2,183,0.49,24.5,0.183,6037.666666666667,Summer
31271,2016-08-05T03:00,18.4,81,19.1,984.7,0.0,0.0,0.0,0.0,0.0,9.4,178,0.01,19.4,0.18,6061.125,Summer
28332,2016-07-15T18:00,25.9,56,26.3,992.0,0.0,186.0,133.0,53.0,496.9,9.0,254,0.17,24.5,0.172,6040.75,Summer
27341,2016-07-08T20:00,20.4,84,23.9,984.5,0.0,7.0,2.0,5.0,69.8,5.1,51,0.03,20.0,0.208,6033.833333333333,Summer
31023,2016-08-03T10:00,26.6,47,28.7,978.6,0.0,721.0,565.0,156.0,670.1,0.7,360,0.49,23.5,0.137,6059.416666666667,Summer
37631,2016-09-18T07:00,18.8,96,21.5,995.1,0.0,38.0,2.0,36.0,4.8,12.1,203,0.04,18.0,0.123,6105.291666666667,Summer
25277,2016-06-24T12:00,22.9,39,24.1,993.4,0.0,951.0,840.0,111.0,906.2,5.2,326,0.62,20.3,0.177,6019.5,Summer
25783,2016-06-28T01:00,20.4,92,23.3,993.5,0.0,0.0,0.0,0.0,0.0,11.2,184,0.0,20.7,0.064,6023.041666666667,Summer
33772,2016-08-22T12:00,15.9,67,14.2,990.6,0.0,364.0,125.0,239.0,95.5,19.6,313,0.25,16.9,0.279,6078.5,Summer
30130,2016-07-28T05:00,19.8,89,22.2,986.3,0.0,4.0,1.0,3.0,0.0,4.3,156,0.02,18.2,0.195,6053.208333333333,Summer
25391,2016-06-25T07:00,20.3,64,18.1,978.6,0.0,335.0,265.0,70.0,596.8,1.1,162,0.18,18.2,0.146,6020.291666666667,Summer
33638,2016-08-21T14:00,27.2,58,26.9,966.1,0.0,505.0,286.0,219.0,279.5,22.4,174,0.45,24.9,0.156,6077.583333333333,Summer
35722,2016-09-05T01:00,16.0,66,13.4,1002.8,0.0,0.0,0.0,0.0,0.0,6.9,9,0.02,15.7,0.068,6092.041666666667,Summer
25170,2016-06-23T19:00,24.5,38,24.1,989.3,0.0,98.0,52.0,46.0,365.8,5.1,4,0.09,22.9,0.076,6018.791666666667,Summer
26581,2016-07-03T14:00,24.0,40,23.7,972.5,0.0,746.0,578.0,168.0,687.3,13.9,280,0.53,20.8,0.202,6028.583333333333,Summer
27097,2016-07-07T04:00,18.9,98,20.5,979.8,0.0,0.0,0.0,0.0,0.0,5.1,94,0.0,18.5,0.182,6032.166666666667,Summer
32982,2016-08-17T01:00,22.1,100,22.6,982.0,0.0,0.0,0.0,0.0,0.0,15.9,213,0.0,20.5,0.323,6073.041666666667,Summer
25085,2016-06-23T04:00,12.1,90,10.8,994.6,0.0,0.0,0.0,0.0,0.0,4.5,194,0.0,13.9,0.177,6018.166666666667,Summer
30334,2016-07-29T15:00,25.7,50,27.7,996.9,0.0,620.0,494.0,126.0,683.5,13.0,355,0.49,25.7,0.154,6054.625,Summer
29851,2016-07-26T07:00,20.1,91,22.7,984.3,0.0,238.0,170.0,68.0,473.2,6.6,257,0.14,19.2,0.244,6051.291666666667,Summer
31074,2016-08-03T19:00,23.2,86,26.0,990.1,0.0,59.0,35.0,24.0,261.0,5.4,233,0.04,22.3,0.17,6059.791666666667,Summer
35193,2016-09-01T09:00,18.6,88,20.9,968.7,0.0,327.0,160.0,167.0,282.4,8.4,340,0.2,18.0,0.247,6088.375,Summer
26592,2016-07-03T16:00,23.9,42,24.3,998.0,0.0,622.0,491.0,131.0,726.5,12.6,275,0.46,21.9,0.189,6028.666666666667,Summer
28364,2016-07-15T23:00,21.2,73,22.1,994.7,0.0,0.0,0.0,0.0,0.0,6.5,214,0.01,21.7,0.17,6040.958333333333,Summer
29982,2016-07-27T05:00,17.0,91,20.0,987.3,0.0,4.0,1.0,3.0,0.0,5.5,148,0.03,15.6,0.222,6052.208333333333,Summer
29228,2016-07-21T23:00,22.1,65,22.6,985.9,0.0,0.0,0.0,0.0,0.0,15.1,183,0.07,20.9,0.159,6046.958333333333,Summer
35481,2016-09-03T09:00,19.3,57,17.6,1002.1,0.0,399.0,139.0,260.0,239.9,8.3,34,0.25,18.6,0.074,6090.375,Summer
31851,2016-08-09T04:00,19.8,56,15.7,989.9,0.0,0.0,0.0,0.0,0.0,0.5,315,0.0,15.2,0.138,6065.166666666667,Summer
35701,2016-09-04T22:00,17.5,90,15.8,980.9,0.0,0.0,0.0,0.0,0.0,9.4,176,0.01,16.3,0.172,6091.916666666667,Summer
31356,2016-08-05T18:00,29.5,42,29.8,965.3,0.0,181.0,115.0,66.0,484.2,13.9,205,0.24,27.4,0.098,6061.75,Summer
27868,2016-07-12T12:00,26.1,47,28.3,989.5,0.0,843.0,612.0,231.0,627.2,9.7,243,0.6,22.7,0.227,6037.5,Summer
33529,2016-08-20T20:00,21.7,69,23.7,983.0,0.0,0.0,0.0,0.0,0.0,12.2,146,0.05,21.1,0.221,6076.833333333333,Summer
27902,2016-07-12T18:00,23.4,82,27.3,987.5,0.0,160.0,68.0,92.0,210.0,1.3,34,0.1,22.1,0.216,6037.75,Summer
27179,2016-07-07T17:00,25.6,78,27.2,975.7,0.0,309.0,179.0,130.0,438.3,9.2,315,0.19,25.7,0.198,6032.708333333333,Summer
29833,2016-07-26T04:00,20.3,80,21.1,991.8,0.0,0.0,0.0,0.0,0.0,10.5,254,0.02,20.6,0.175,6051.166666666667,Summer
31421,2016-08-06T04:00,21.5,90,24.4,962.4,0.0,0.0,0.0,0.0,0.0,9.7,222,0.02,20.9,0.111,6062.166666666667,Summer
31703,2016-08-08T03:00,15.2,90,14.1,989.6,0.0,0.0,0.0,0.0,0.0,5.5,302,0.0,15.9,0.124,6064.125,Summer
33243,2016-08-18T20:00,21.6,88,25.0,970.9,0.0,0.0,0.0,0.0,0.0,6.1,315,0.01,20.7,0.208,6074.833333333333,Summer
25278,2016-06-24T13:00,28.7,22,29.4,996.8,0.0,973.0,865.0,108.0,928.8,1.1,18,0.67,26.5,0.073,6019.541666666667,Summer
25372,2016-06-25T04:00,15.9,75,12.6,999.2,0.0,0.0,0.0,0.0,0.0,5.7,198,0.0,15.1,0.071,6020.166666666667,Summer
34006,2016-08-24T03:00,16.2,84,16.4,991.8,0.0,0.0,0.0,0.0,0.0,6.2,187,0.0,15.6,0.24,6080.125,Summer
35170,2016-09-01T05:00,17.3,100,20.3,967.3,0.0,0.0,0.0,0.0,0.0,6.8,302,0.0,17.3,0.253,6088.208333333333,Summer
35053,2016-08-31T10:00,20.1,94,22.4,987.0,0.0,352.0,99.0,253.0,129.4,9.1,189,0.24,18.8,0.272,6087.416666666667,Summer
37677,2016-09-18T15:00,24.4,65,27.2,984.1,0.0,272.0,74.0,198.0,153.6,9.9,226,0.22,22.1,0.201,6105.625,Summer
30253,2016-07-29T02:00,19.3,99,21.9,986.4,0.0,0.0,0.0,0.0,0.0,2.3,342,0.0,18.8,0.226,6054.083333333333,Summer
35853,2016-09-05T23:00,18.0,60,17.4,996.6,0.0,0.0,0.0,0.0,0.0,17.3,21,0.1,18.6,0.066,6092.958333333333,Summer
27941,2016-07-13T00:00,19.9,73,19.4,972.6,0.0,0.0,0.0,0.0,0.0,5.4,180,0.0,17.3,0.172,6038.0,Summer
33173,2016-08-18T08:00,21.0,80,21.1,989.3,0.0,227.0,103.0,124.0,243.9,5.5,203,0.14,19.0,0.255,6074.333333333333,Summer
29649,2016-07-24T21:00,24.6,57,24.9,993.3,0.0,0.0,0.0,0.0,0.0,4.1,45,0.01,23.3,0.102,6049.875,Summer
