,time,temperature_2m,relativehumidity_2m,apparent_temperature,surface_pressure,snowfall,shortwave_radiation,direct_radiation,diffuse_radiation,direct_normal_irradiance,windspeed_10m,winddirection_10m,et0_fao_evapotranspiration,soil_temperature_0_to_7cm,soil_moisture_0_to_7cm,days_since_Jan1_2000,season
30592,2014-08-01T10:00,22.5,66,24.4,993.2,0.0,736.0,626.0,110.0,808.0,11.0,203,0.48,20.3,0.259,5326.416666666667,Summer
29148,2014-07-22T10:00,27.3,54,30.1,989.2,0.0,740.0,631.0,109.0,800.4,7.9,267,0.53,23.7,0.197,5316.416666666667,Summer
29082,2014-07-21T23:00,20.5,81,20.0,993.5,0.0,0.0,0.0,0.0,0.0,8.0,172,0.01,19.8,0.13,5315.958333333333,Summer
28983,2014-07-21T06:00,16.5,88,16.4,995.4,0.0,103.0,62.0,41.0,233.8,9.1,146,0.06,16.3,0.145,5315.25,Summer
28294,2014-07-16T11:00,22.3,63,25.5,978.3,0.0,727.0,493.0,234.0,520.8,6.4,243,0.48,21.4,0.321,5310.458333333333,Summer
32370,2014-08-13T19:00,17.2,100,20.5,975.2,0.0,6.0,0.0,6.0,0.0,1.5,14,0.02,17.6,0.4,5338.791666666667,Summer
32627,2014-08-15T13:00,15.8,72,16.4,994.1,0.0,245.0,36.0,209.0,73.9,10.0,210,0.17,18.2,0.256,5340.541666666667,Summer
26885,2014-07-06T16:00,26.1,47,26.8,967.7,0.0,615.0,509.0,106.0,757.8,16.0,247,0.48,23.1,0.205,5300.666666666667,Summer
32415,2014-08-14T02:00,15.4,100,17.9,961.6,0.0,0.0,0.0,0.0,0.0,6.2,260,0.0,15.6,0.34,5339.083333333333,Summer
37184,2014-09-16T05:00,9.8,89,8.5,986.9,0.0,0.0,0.0,0.0,0.0,9.8,197,0.0,10.1,0.238,5372.208333333333,Summer
36112,2014-09-08T18:00,19.7,70,19.2,997.7,0.0,57.0,28.0,29.0,293.6,6.9,152,0.04,18.6,0.215,5364.75,Summer
33299,2014-08-20T05:00,14.5,97,14.1,998.0,0.0,0.0,0.0,0.0,0.0,5.4,127,0.0,17.3,0.227,5345.208333333333,Summer
35370,2014-09-03T15:00,24.4,45,25.6,984.6,0.0,613.0,512.0,101.0,808.2,10.5,266,0.43,22.6,0.299,5359.625,Summer
26670,2014-07-05T05:00,15.0,63,11.8,969.0,0.0,10.0,2.0,8.0,0.0,20.0,334,0.1,15.5,0.257,5299.208333333333,Summer
29435,2014-07-24T09:00,18.2,72,16.3,987.4,0.0,597.0,460.0,137.0,657.1,12.2,336,0.31,18.2,0.255,5318.375,Summer
33480,2014-08-21T12:00,19.5,74,20.3,991.9,0.0,242.0,50.0,192.0,68.6,9.5,119,0.16,18.0,0.231,5346.5,Summer
28414,2014-07-17T07:00,18.2,76,17.7,970.3,0.0,259.0,154.0,105.0,384.8,4.5,299,0.14,19.1,0.233,5311.291666666667,Summer
31863,2014-08-10T06:00,17.2,79,15.6,989.2,0.0,61.0,37.0,24.0,0.0,0.4,270,0.01,13.9,0.243,5335.25,Summer
32923,2014-08-17T15:00,19.4,72,20.4,966.8,0.0,512.0,377.0,135.0,533.3,13.5,316,0.29,17.8,0.271,5342.625,Summer
30102,2014-07-29T01:00,15.3,93,17.2,982.4,0.0,0.0,0.0,0.0,0.0,14.8,309,0.02,16.2,0.271,5323.041666666667,Summer
27316,2014-07-09T16:00,23.1,56,22.3,981.0,0.0,414.0,282.0,132.0,455.5,18.5,243,0.33,22.0,0.225,5303.666666666667,Summer
