,time,temperature_2m,relativehumidity_2m,apparent_temperature,surface_pressure,snowfall,shortwave_radiation,direct_radiation,diffuse_radiation,direct_normal_irradiance,windspeed_10m,winddirection_10m,et0_fao_evapotranspiration,soil_temperature_0_to_7cm,soil_moisture_0_to_7cm,days_since_Jan1_2000,season
31742,2021-08-09T10:00,25.7,67,28.2,995.4,0.0,595.0,336.0,259.0,458.6,10.9,174,0.43,23.0,0.193,7891.416666666667,Summer
32075,2021-08-11T17:00,28.7,72,31.8,985.2,0.0,308.0,218.0,90.0,555.2,9.7,228,0.25,25.6,0.196,7893.708333333333,Summer
35134,2021-09-01T23:00,14.9,84,14.7,983.9,0.0,0.0,0.0,0.0,0.0,2.2,90,0.0,14.9,0.183,7914.958333333333,Summer
37075,2021-09-15T11:00,25.1,78,28.8,992.2,0.0,366.0,127.0,239.0,97.7,17.3,211,0.27,21.6,0.215,7928.458333333333,Summer
28895,2021-07-20T15:00,23.9,75,25.3,983.3,0.0,590.0,413.0,177.0,550.2,7.1,336,0.39,22.7,0.28,7871.625,Summer
29125,2021-07-22T06:00,16.7,88,17.3,994.4,0.0,103.0,66.0,37.0,247.0,9.6,326,0.06,16.8,0.252,7873.25,Summer
37694,2021-09-19T18:00,15.9,72,13.2,977.9,0.0,35.0,20.0,15.0,282.8,7.7,323,0.03,16.1,0.233,7932.75,Summer
35391,2021-09-03T18:00,18.0,72,16.9,970.4,0.0,55.0,27.0,28.0,274.2,12.2,298,0.07,17.4,0.195,7916.75,Summer
25898,2021-06-29T20:00,24.0,86,27.7,989.6,0.0,4.0,0.0,4.0,32.0,5.6,243,0.03,23.7,0.183,7850.833333333333,Summer
30013,2021-07-28T10:00,19.5,83,21.0,986.4,0.0,592.0,390.0,202.0,495.6,7.6,3,0.34,19.2,0.345,7879.416666666667,Summer
36754,2021-09-13T05:00,16.0,96,16.1,983.1,0.0,0.0,0.0,0.0,0.0,4.8,257,0.0,15.5,0.295,7926.208333333333,Summer
31708,2021-08-09T04:00,20.6,98,21.9,994.3,0.0,0.0,0.0,0.0,0.0,11.4,152,0.01,19.8,0.196,7891.166666666667,Summer
29156,2021-07-22T11:00,20.8,68,22.0,988.6,0.0,750.0,515.0,235.0,549.6,7.8,283,0.44,19.6,0.276,7873.458333333333,Summer
35468,2021-09-04T07:00,13.8,91,11.9,986.8,0.0,159.0,110.0,49.0,370.6,8.1,291,0.06,14.2,0.207,7917.291666666667,Summer
32316,2021-08-13T10:00,27.9,59,31.6,987.9,0.0,697.0,602.0,95.0,789.4,8.6,213,0.49,25.7,0.205,7895.416666666667,Summer
30586,2021-08-01T09:00,20.8,58,20.8,992.0,0.0,611.0,513.0,98.0,758.1,6.8,180,0.37,18.4,0.211,7883.375,Summer
36226,2021-09-09T13:00,22.0,83,23.4,982.5,0.0,458.0,172.0,286.0,285.3,7.0,201,0.3,20.6,0.266,7922.541666666667,Summer
