,time,temperature_2m,relativehumidity_2m,apparent_temperature,surface_pressure,snowfall,shortwave_radiation,direct_radiation,diffuse_radiation,direct_normal_irradiance,windspeed_10m,winddirection_10m,et0_fao_evapotranspiration,soil_temperature_0_to_7cm,soil_moisture_0_to_7cm,days_since_Jan1_2000,season
34456,2013-08-28T06:00,18.5,99,22.1,986.1,0.0,11.0,0.0,11.0,0.0,1.5,104,0.01,18.1,0.221,4988.25,Summer
28354,2013-07-16T21:00,25.1,76,28.4,1000.2,0.0,0.0,0.0,0.0,0.0,6.8,342,0.03,24.5,0.145,4945.875,Summer
35510,2013-09-04T14:00,25.0,46,26.5,991.1,0.0,732.0,612.0,120.0,858.9,12.6,273,0.52,23.0,0.188,4995.583333333333,Summer
32736,2013-08-16T08:00,19.2,65,17.1,999.2,0.0,380.0,281.0,99.0,533.5,5.1,266,0.21,17.8,0.195,4976.333333333333,Summer
35466,2013-09-04T07:00,16.9,85,17.8,991.2,0.0,146.0,90.0,56.0,272.5,8.0,275,0.08,16.8,0.204,4995.291666666667,Summer
33434,2013-08-21T04:00,16.4,92,16.9,993.0,0.0,0.0,0.0,0.0,0.0,7.7,169,0.0,15.3,0.185,4981.166666666667,Summer
25136,2013-06-24T13:00,27.1,69,32.4,971.6,0.0,584.0,280.0,304.0,415.5,13.0,270,0.46,23.3,0.241,4923.541666666667,Summer
32197,2013-08-12T14:00,24.7,50,26.3,993.4,0.0,525.0,221.0,304.0,436.4,8.6,255,0.41,21.8,0.201,4972.583333333333,Summer
29763,2013-07-26T16:00,23.1,58,25.2,994.2,0.0,245.0,87.0,158.0,55.2,9.7,309,0.21,20.9,0.187,4955.666666666667,Summer
27936,2013-07-14T00:00,20.1,93,21.8,1008.3,0.0,0.0,0.0,0.0,0.0,8.3,185,0.0,20.5,0.221,4943.0,Summer
37125,2013-09-15T19:00,14.1,79,13.5,985.9,0.0,0.0,0.0,0.0,0.0,8.7,204,0.01,14.3,0.291,5006.791666666667,Summer
27318,2013-07-09T17:00,23.4,89,27.7,973.6,0.0,305.0,210.0,95.0,343.5,6.3,121,0.2,22.0,0.306,4938.708333333333,Summer
31281,2013-08-06T05:00,10.3,86,11.2,992.2,0.0,1.0,0.0,1.0,0.0,7.6,155,0.03,10.1,0.261,4966.208333333333,Summer
27577,2013-07-11T12:00,23.4,76,27.0,986.2,0.0,834.0,686.0,148.0,677.9,11.9,331,0.54,21.9,0.298,4940.5,Summer
33166,2013-08-19T07:00,17.4,86,18.2,996.5,0.0,181.0,97.0,84.0,209.1,5.4,270,0.1,16.4,0.156,4979.291666666667,Summer
27783,2013-07-12T22:00,19.2,92,19.8,978.1,0.0,0.0,0.0,0.0,0.0,5.4,42,0.0,17.9,0.26,4941.916666666667,Summer
31257,2013-08-06T01:00,14.3,76,12.0,995.8,0.0,0.0,0.0,0.0,0.0,5.8,7,0.01,12.5,0.146,4966.041666666667,Summer
30104,2013-07-29T01:00,19.1,100,21.0,971.4,0.0,0.0,0.0,0.0,0.0,9.5,169,0.0,18.4,0.315,4958.041666666667,Summer
26576,2013-07-04T13:00,28.3,67,32.5,989.8,0.0,662.0,489.0,173.0,638.8,11.7,227,0.49,25.1,0.333,4933.541666666667,Summer
25335,2013-06-25T22:00,19.5,98,21.2,981.8,0.0,0.0,0.0,0.0,0.0,7.3,189,0.0,19.1,0.277,4924.916666666667,Summer
37157,2013-09-16T00:00,12.9,87,10.5,986.3,0.0,0.0,0.0,0.0,0.0,14.4,238,0.0,13.1,0.281,5007.0,Summer
35706,2013-09-05T23:00,10.1,73,4.0,975.7,0.0,0.0,0.0,0.0,0.0,5.5,281,0.0,11.7,0.25,4996.958333333333,Summer
33292,2013-08-20T04:00,15.1,90,15.4,989.8,0.0,0.0,0.0,0.0,0.0,6.1,180,0.0,14.2,0.197,4980.166666666667,Summer
34938,2013-08-31T15:00,27.1,67,29.7,987.6,0.0,402.0,227.0,175.0,314.0,13.0,214,0.28,24.7,0.16,4991.625,Summer
34177,2013-08-26T08:00,18.1,90,20.1,998.9,0.0,84.0,10.0,74.0,13.2,10.4,178,0.06,19.6,0.208,4986.333333333333,Summer
25280,2013-06-25T13:00,28.3,66,32.5,983.6,0.0,765.0,555.0,210.0,731.4,12.3,220,0.54,24.5,0.262,4924.541666666667,Summer
27855,2013-07-13T10:00,24.5,65,28.7,999.7,0.0,736.0,560.0,176.0,595.1,3.8,163,0.5,21.4,0.248,4942.416666666667,Summer
31165,2013-08-05T10:00,16.0,55,16.7,985.7,0.0,693.0,570.0,123.0,699.4,11.0,319,0.41,15.9,0.311,4965.416666666667,Summer
27118,2013-07-08T07:00,21.5,95,26.6,983.7,0.0,178.0,62.0,116.0,140.5,3.1,216,0.11,21.0,0.353,4937.291666666667,Summer
36683,2013-09-12T17:00,21.5,95,24.2,974.2,0.0,91.0,7.0,84.0,54.0,4.7,189,0.06,21.1,0.328,5003.708333333333,Summer
24917,2013-06-23T00:00,19.0,89,22.2,1001.6,0.0,0.0,0.0,0.0,0.0,8.1,167,0.0,17.8,0.201,4922.0,Summer
35793,2013-09-06T13:00,16.4,47,15.1,992.1,0.0,782.0,685.0,97.0,904.8,15.5,242,0.44,16.1,0.24,4997.541666666667,Summer
36740,2013-09-13T03:00,17.2,100,20.0,959.5,0.0,0.0,0.0,0.0,0.0,4.7,279,0.0,17.3,0.341,5004.125,Summer
29323,2013-07-23T15:00,21.6,86,25.4,973.9,0.0,592.0,399.0,193.0,382.7,3.3,174,0.38,20.5,0.276,4952.625,Summer
29843,2013-07-27T05:00,13.7,100,16.9,988.0,0.0,5.0,1.0,4.0,0.0,3.3,193,0.01,14.1,0.218,4956.208333333333,Summer
33558,2013-08-22T01:00,18.2,83,18.7,985.0,0.0,0.0,0.0,0.0,0.0,6.3,193,0.0,17.1,0.228,4982.041666666667,Summer
34442,2013-08-28T04:00,18.7,99,18.9,968.2,0.0,0.0,0.0,0.0,0.0,2.7,337,0.0,18.1,0.199,4988.166666666667,Summer
24891,2013-06-22T20:00,20.2,91,24.3,1001.5,0.0,4.0,0.0,4.0,7.2,5.2,124,0.02,18.5,0.2,4921.833333333333,Summer
25767,2013-06-28T22:00,20.2,98,25.1,978.9,0.0,0.0,0.0,0.0,0.0,7.3,189,0.0,19.3,0.278,4927.916666666667,Summer
35937,2013-09-07T13:00,20.1,62,19.9,969.3,0.0,414.0,126.0,288.0,458.9,12.8,248,0.31,17.6,0.222,4998.541666666667,Summer
34754,2013-08-30T08:00,18.8,90,18.0,984.9,0.0,143.0,22.0,121.0,39.0,9.7,225,0.08,17.8,0.27,4990.333333333333,Summer
35639,2013-09-05T11:00,14.8,55,13.7,991.3,0.0,666.0,484.0,182.0,681.1,12.2,336,0.37,15.3,0.267,4996.458333333333,Summer
31529,2013-08-07T22:00,17.8,72,18.3,987.1,0.0,0.0,0.0,0.0,0.0,15.3,161,0.04,17.5,0.233,4967.916666666667,Summer
29764,2013-07-26T16:00,22.8,60,23.7,991.0,0.0,494.0,251.0,243.0,401.4,10.5,338,0.34,20.2,0.226,4955.666666666667,Summer
37286,2013-09-16T22:00,7.0,72,2.1,993.5,0.0,0.0,0.0,0.0,0.0,10.8,360,0.0,9.6,0.301,5007.916666666667,Summer
34869,2013-08-31T03:00,18.2,100,20.7,979.2,0.0,0.0,0.0,0.0,0.0,9.0,233,0.0,18.2,0.332,4991.125,Summer
