,time,temperature_2m,relativehumidity_2m,apparent_temperature,surface_pressure,snowfall,shortwave_radiation,direct_radiation,diffuse_radiation,direct_normal_irradiance,windspeed_10m,winddirection_10m,et0_fao_evapotranspiration,soil_temperature_0_to_7cm,soil_moisture_0_to_7cm,days_since_Jan1_2000,season
37385,2022-09-17T14:00,18.9,44,17.7,995.4,0.0,668.0,573.0,95.0,733.6,6.8,238,0.4,16.7,0.214,8295.583333333334,Summer
25852,2022-06-29T12:00,25.5,41,26.7,977.9,0.0,973.0,871.0,102.0,927.2,11.3,217,0.67,22.0,0.205,8215.5,Summer
29631,2022-07-25T18:00,25.2,69,30.2,988.5,0.0,188.0,127.0,61.0,435.0,8.3,178,0.16,24.6,0.227,8241.75,Summer
25128,2022-06-24T12:00,23.2,61,26.1,984.8,0.0,724.0,504.0,220.0,599.5,6.9,133,0.48,20.2,0.282,8210.5,Summer
33469,2022-08-21T10:00,27.7,52,28.1,988.0,0.0,557.0,316.0,241.0,530.7,10.5,266,0.41,24.6,0.196,8268.416666666666,Summer
28418,2022-07-17T08:00,24.1,58,23.3,987.9,0.0,450.0,367.0,83.0,623.7,6.5,214,0.29,21.0,0.168,8233.333333333334,Summer
37343,2022-09-17T07:00,8.6,89,5.0,996.2,0.0,121.0,78.0,43.0,281.0,3.4,302,0.03,8.2,0.236,8295.291666666666,Summer
30471,2022-07-31T14:00,26.1,49,24.9,990.1,0.0,616.0,280.0,336.0,363.8,14.7,205,0.44,23.6,0.219,8247.583333333334,Summer
25400,2022-06-26T09:00,25.2,61,28.6,1000.6,0.0,653.0,555.0,98.0,783.9,13.1,279,0.46,21.6,0.203,8212.375,Summer
30973,2022-08-04T02:00,22.2,66,21.8,996.1,0.0,0.0,0.0,0.0,0.0,14.8,274,0.05,22.4,0.166,8251.083333333334,Summer
27393,2022-07-10T05:00,10.9,86,8.4,990.5,0.0,21.0,11.0,10.0,0.0,7.7,233,0.01,10.7,0.172,8226.208333333334,Summer
31350,2022-08-06T17:00,29.7,61,35.2,1001.1,0.0,369.0,294.0,75.0,664.3,10.0,221,0.32,27.7,0.166,8253.708333333334,Summer
29797,2022-07-26T22:00,19.4,69,18.6,992.8,0.0,0.0,0.0,0.0,0.0,5.9,194,0.01,20.4,0.172,8242.916666666666,Summer
35649,2022-09-05T13:00,18.3,92,17.6,977.4,0.0,112.0,0.0,112.0,0.0,7.4,293,0.08,17.4,0.176,8283.541666666666,Summer
25501,2022-06-27T02:00,21.6,70,21.7,992.3,0.0,0.0,0.0,0.0,0.0,14.9,263,0.06,21.3,0.088,8213.083333333334,Summer
30949,2022-08-03T22:00,23.5,60,23.4,996.8,0.0,0.0,0.0,0.0,0.0,13.4,284,0.05,23.2,0.166,8250.916666666666,Summer
33476,2022-08-21T11:00,28.2,55,30.5,1001.2,0.0,656.0,466.0,190.0,631.4,14.4,274,0.51,26.2,0.158,8268.458333333334,Summer
32116,2022-08-12T00:00,17.6,80,15.5,998.6,0.0,0.0,0.0,0.0,0.0,13.0,118,0.02,20.6,0.2,8259.0,Summer
30503,2022-07-31T19:00,23.2,70,25.1,991.1,0.0,51.0,4.0,47.0,73.9,4.6,129,0.05,21.8,0.193,8247.791666666666,Summer
34312,2022-08-27T06:00,16.1,98,16.9,990.3,0.0,8.0,1.0,7.0,0.0,7.6,82,0.02,16.4,0.238,8274.25,Summer
34578,2022-08-29T03:00,18.3,97,19.7,998.5,0.0,0.0,0.0,0.0,0.0,8.1,249,0.0,18.6,0.174,8276.125,Summer
32845,2022-08-17T02:00,17.3,89,16.1,990.1,0.0,0.0,0.0,0.0,0.0,8.3,18,0.0,17.3,0.184,8264.083333333334,Summer
