,time,temperature_2m,relativehumidity_2m,apparent_temperature,surface_pressure,snowfall,shortwave_radiation,direct_radiation,diffuse_radiation,direct_normal_irradiance,windspeed_10m,winddirection_10m,et0_fao_evapotranspiration,soil_temperature_0_to_7cm,soil_moisture_0_to_7cm,days_since_Jan1_2000,season
33281,2020-08-19T02:00,13.6,97,13.4,986.0,0.0,0.0,0.0,0.0,0.0,5.2,245,0.0,14.0,0.217,7536.083333333333,Summer
31130,2020-08-04T04:00,21.3,80,23.5,995.5,0.0,0.0,0.0,0.0,0.0,6.4,142,0.01,20.4,0.105,7521.166666666667,Summer
37225,2020-09-15T12:00,17.3,34,15.0,994.2,0.0,786.0,692.0,94.0,919.4,1.8,259,0.43,17.2,0.14,7563.5,Summer
31462,2020-08-06T11:00,21.9,48,22.5,989.4,0.0,867.0,768.0,99.0,901.6,8.0,280,0.54,20.9,0.291,7523.458333333333,Summer
34628,2020-08-28T11:00,22.9,54,25.6,988.6,0.0,751.0,575.0,176.0,732.8,11.7,315,0.49,20.8,0.183,7545.458333333333,Summer
25497,2020-06-26T01:00,16.5,69,13.5,983.3,0.0,0.0,0.0,0.0,0.0,11.5,200,0.03,16.1,0.151,7482.041666666667,Summer
25755,2020-06-27T20:00,21.9,65,23.6,989.0,0.0,5.0,1.0,4.0,28.9,10.5,174,0.1,21.7,0.14,7483.833333333333,Summer
32234,2020-08-11T20:00,26.6,68,29.3,992.1,0.0,0.0,0.0,0.0,0.0,13.8,195,0.08,25.8,0.116,7528.833333333333,Summer
36382,2020-09-09T15:00,25.8,63,27.5,1007.6,0.0,443.0,345.0,98.0,577.3,9.1,9,0.32,26.0,0.141,7557.625,Summer
24705,2020-06-20T13:00,30.9,36,32.1,985.0,0.0,684.0,528.0,156.0,568.2,2.8,230,0.51,27.7,0.137,7476.541666666667,Summer
33884,2020-08-23T07:00,18.0,80,17.3,991.0,0.0,119.0,38.0,81.0,167.2,8.8,161,0.07,16.4,0.198,7540.291666666667,Summer
32141,2020-08-11T04:00,20.4,93,21.5,983.9,0.0,0.0,0.0,0.0,0.0,11.4,191,0.0,19.8,0.198,7528.166666666667,Summer
34810,2020-08-29T17:00,23.9,88,29.3,975.3,0.0,195.0,114.0,81.0,311.6,10.8,182,0.14,21.7,0.218,7546.708333333333,Summer
25898,2020-06-28T20:00,20.6,93,23.5,964.3,0.0,5.0,0.0,5.0,2.8,4.7,86,0.02,20.0,0.215,7484.833333333333,Summer
32364,2020-08-12T18:00,24.9,64,24.6,989.2,0.0,196.0,144.0,52.0,649.2,9.4,268,0.14,24.5,0.174,7529.75,Summer
37746,2020-09-19T03:00,4.4,79,-3.9,995.5,0.0,0.0,0.0,0.0,0.0,9.3,332,0.0,5.4,0.166,7567.125,Summer
35493,2020-09-03T11:00,22.4,64,24.3,966.8,0.0,574.0,276.0,298.0,356.4,3.7,259,0.38,20.9,0.196,7551.458333333333,Summer
28679,2020-07-18T03:00,17.0,99,19.5,996.2,0.0,0.0,0.0,0.0,0.0,4.8,297,0.0,16.2,0.231,7504.125,Summer
26383,2020-07-02T05:00,17.5,98,20.7,983.5,0.0,16.0,4.0,12.0,0.0,8.6,158,0.02,16.6,0.278,7488.208333333333,Summer
27879,2020-07-12T14:00,24.6,74,26.6,977.2,0.0,695.0,567.0,128.0,501.8,15.8,282,0.42,22.5,0.281,7498.583333333333,Summer
31535,2020-08-06T23:00,18.8,87,18.9,1004.0,0.0,0.0,0.0,0.0,0.0,4.5,166,0.0,19.6,0.239,7523.958333333333,Summer
32601,2020-08-14T09:00,26.1,53,26.4,997.2,0.0,481.0,273.0,208.0,445.3,9.4,32,0.36,24.4,0.093,7531.375,Summer
33863,2020-08-23T03:00,15.3,89,13.0,986.5,0.0,0.0,0.0,0.0,0.0,10.9,174,0.01,14.7,0.221,7540.125,Summer
29374,2020-07-22T23:00,22.5,100,26.3,993.9,0.0,0.0,0.0,0.0,0.0,6.6,167,0.0,22.1,0.24,7508.958333333333,Summer
27074,2020-07-07T00:00,19.5,87,18.9,1001.4,0.0,0.0,0.0,0.0,0.0,5.8,173,0.01,19.5,0.178,7493.0,Summer
31706,2020-08-08T04:00,15.5,98,13.6,992.1,0.0,0.0,0.0,0.0,0.0,4.1,142,0.0,16.9,0.218,7525.166666666667,Summer
26245,2020-07-01T06:00,17.0,100,20.1,981.2,0.0,26.0,2.0,24.0,5.0,7.1,345,0.03,17.1,0.342,7487.25,Summer
27724,2020-07-11T12:00,24.7,90,29.7,972.8,0.0,370.0,99.0,271.0,79.0,16.3,194,0.25,23.1,0.308,7497.5,Summer
37576,2020-09-17T22:00,12.4,76,7.9,1001.4,0.0,0.0,0.0,0.0,0.0,9.1,351,0.0,16.2,0.141,7565.916666666667,Summer
29700,2020-07-25T06:00,19.1,88,21.4,1002.3,0.0,77.0,21.0,56.0,60.5,4.3,175,0.05,20.1,0.191,7511.25,Summer
31317,2020-08-05T11:00,22.9,82,24.2,984.2,0.0,648.0,481.0,167.0,393.6,16.5,226,0.37,21.3,0.281,7522.458333333333,Summer
31690,2020-08-08T01:00,20.5,96,20.3,1004.2,0.0,0.0,0.0,0.0,0.0,2.0,135,0.0,20.2,0.227,7525.041666666667,Summer
25987,2020-06-29T11:00,19.3,100,20.7,985.8,0.0,295.0,27.0,268.0,25.1,9.7,4,0.17,18.7,0.282,7485.458333333333,Summer
25531,2020-06-26T07:00,19.6,66,19.7,996.5,0.0,318.0,248.0,70.0,515.8,8.1,193,0.19,19.4,0.156,7482.291666666667,Summer
27958,2020-07-13T03:00,18.8,96,22.1,990.4,0.0,0.0,0.0,0.0,0.0,4.3,222,0.0,20.8,0.237,7499.125,Summer
25530,2020-06-26T07:00,19.8,62,19.5,982.8,0.0,304.0,222.0,82.0,512.6,6.2,216,0.18,19.8,0.174,7482.291666666667,Summer
37047,2020-09-14T06:00,16.6,93,17.9,995.0,0.0,7.0,1.0,6.0,0.0,11.9,305,0.04,16.3,0.107,7562.25,Summer
35278,2020-09-01T23:00,19.0,73,19.9,986.6,0.0,0.0,0.0,0.0,0.0,12.4,158,0.03,18.6,0.175,7549.958333333333,Summer
26646,2020-07-04T01:00,19.2,94,18.9,995.2,0.0,0.0,0.0,0.0,0.0,7.2,174,0.0,19.7,0.219,7490.041666666667,Summer
31981,2020-08-10T02:00,19.6,99,22.3,987.3,0.0,0.0,0.0,0.0,0.0,4.7,148,0.0,19.4,0.202,7527.083333333333,Summer
32006,2020-08-10T06:00,19.9,95,22.5,987.8,0.0,36.0,15.0,21.0,0.0,5.4,222,0.03,19.5,0.203,7527.25,Summer
