,time,temperature_2m,relativehumidity_2m,apparent_temperature,surface_pressure,snowfall,shortwave_radiation,direct_radiation,diffuse_radiation,direct_normal_irradiance,windspeed_10m,winddirection_10m,et0_fao_evapotranspiration,soil_temperature_0_to_7cm,soil_moisture_0_to_7cm,days_since_Jan1_2000,season
26329,2015-07-02T20:00,19.1,71,21.1,990.4,0.0,6.0,0.0,6.0,22.4,4.1,285,0.04,17.7,0.257,5661.833333333333,Summer
36550,2015-09-11T19:00,18.9,73,18.3,978.2,0.0,0.0,0.0,0.0,4.6,6.2,10,0.03,19.7,0.249,5732.791666666667,Summer
36763,2015-09-13T07:00,16.5,93,16.6,989.1,0.0,27.0,2.0,25.0,5.5,13.4,126,0.03,19.7,0.251,5734.291666666667,Summer
28029,2015-07-14T15:00,26.1,51,27.4,985.1,0.0,634.0,507.0,127.0,652.1,14.8,166,0.48,23.1,0.187,5673.625,Summer
35482,2015-09-04T09:00,21.4,56,20.2,989.9,0.0,497.0,394.0,103.0,697.8,5.7,72,0.3,20.7,0.152,5725.375,Summer
36906,2015-09-14T07:00,14.1,94,15.2,992.3,0.0,41.0,6.0,35.0,34.5,6.2,249,0.04,18.2,0.25,5735.291666666667,Summer
24749,2015-06-21T20:00,19.7,95,25.3,963.1,0.0,6.0,1.0,5.0,55.0,6.2,291,0.03,17.9,0.299,5650.833333333333,Summer
32092,2015-08-11T20:00,18.2,98,22.2,980.4,0.0,0.0,0.0,0.0,0.0,3.7,169,0.0,17.5,0.283,5701.833333333333,Summer
36358,2015-09-10T11:00,20.4,69,23.7,986.3,0.0,662.0,482.0,180.0,546.2,3.9,22,0.42,20.5,0.208,5731.458333333333,Summer
32652,2015-08-15T18:00,22.3,92,26.2,989.9,0.0,131.0,55.0,76.0,201.3,3.7,259,0.08,21.4,0.261,5705.75,Summer
36329,2015-09-10T06:00,20.3,94,24.6,990.0,0.0,3.0,0.0,3.0,0.0,7.6,5,0.02,20.7,0.084,5731.25,Summer
28978,2015-07-21T05:00,17.3,90,19.0,975.3,0.0,10.0,2.0,8.0,0.0,11.5,184,0.03,16.3,0.258,5680.208333333333,Summer
32668,2015-08-15T20:00,22.2,92,26.3,1002.0,0.0,0.0,0.0,0.0,0.0,4.0,190,0.0,21.9,0.213,5705.833333333333,Summer
26338,2015-07-02T21:00,16.3,69,16.5,981.6,0.0,0.0,0.0,0.0,0.0,5.4,356,0.02,16.1,0.33,5661.875,Summer
36489,2015-09-11T09:00,18.4,81,17.6,983.7,0.0,435.0,309.0,126.0,482.5,7.2,357,0.22,20.9,0.224,5732.375,Summer
35458,2015-09-04T05:00,13.1,92,13.3,974.5,0.0,0.0,0.0,0.0,0.0,3.7,29,0.0,13.6,0.156,5725.208333333333,Summer
32445,2015-08-14T07:00,17.0,86,16.2,992.1,0.0,211.0,152.0,59.0,453.5,11.3,163,0.11,16.0,0.252,5704.291666666667,Summer
36458,2015-09-11T04:00,15.3,100,16.2,986.0,0.0,0.0,0.0,0.0,0.0,15.0,10,0.0,16.4,0.312,5732.166666666667,Summer
30740,2015-08-02T11:00,23.9,53,27.3,994.4,0.0,826.0,712.0,114.0,873.1,8.6,213,0.57,23.0,0.179,5692.458333333333,Summer
25992,2015-06-30T12:00,23.6,52,24.9,983.7,0.0,887.0,665.0,222.0,809.6,7.0,192,0.57,19.6,0.325,5659.5,Summer
35142,2015-09-02T01:00,20.7,84,21.7,999.3,0.0,0.0,0.0,0.0,0.0,2.5,172,0.0,20.7,0.141,5723.041666666667,Summer
